0,1
generations,200
cross_over_prob,0.95
mutation_prob,0.4
population_size,30
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
93,7.25163161711385e-05,4.088307440719542e-05,6.225171856503463e-05,0.0018675515569510392,3.163324176394308e-05,"[22, 21, 18, 16, 3, 12, 10, 7, 11, 0, 17, 14, 13, 15, 4, 2, 1, 5, 8, 9, 6, 19, 20]",93
94,7.372456502506635e-05,3.856239395341663e-05,6.242945704553772e-05,0.0018728837113661317,3.5162171071649725e-05,"[22, 21, 18, 17, 4, 12, 10, 7, 11, 0, 16, 14, 13, 15, 3, 2, 1, 5, 8, 9, 6, 19, 20]",94
95,7.372456502506635e-05,4.8983590497183446e-05,6.384832072171296e-05,0.0019154496216513888,2.4740974527882908e-05,"[22, 21, 18, 17, 4, 12, 10, 7, 11, 0, 16, 14, 13, 15, 3, 2, 1, 5, 8, 9, 6, 19, 20]",94
96,7.372456502506635e-05,3.8707180181923744e-05,6.179004691061698e-05,0.0018537014073185093,3.501738484314261e-05,"[22, 21, 18, 17, 4, 12, 10, 7, 11, 0, 16, 14, 13, 15, 3, 2, 1, 5, 8, 9, 6, 19, 20]",94
97,7.372456502506635e-05,3.6138918000795055e-05,6.148415328680391e-05,0.0018445245986041174,3.75856470242713e-05,"[22, 21, 18, 17, 4, 12, 10, 7, 11, 0, 16, 14, 13, 15, 3, 2, 1, 5, 8, 9, 6, 19, 20]",94
98,7.372456502506635e-05,4.2517006802721085e-05,6.413586044589869e-05,0.0019240758133769605,3.120755822234527e-05,"[22, 21, 18, 17, 4, 12, 10, 7, 11, 0, 16, 14, 13, 15, 3, 2, 1, 5, 8, 9, 6, 19, 20]",94
99,7.372456502506635e-05,4.020585397233837e-05,6.445536183490124e-05,0.001933660855047037,3.351871105272798e-05,"[22, 21, 18, 17, 4, 12, 10, 7, 11, 0, 16, 14, 13, 15, 3, 2, 1, 5, 8, 9, 6, 19, 20]",94
100,7.500750075007501e-05,5.424758598242378e-05,6.551102565894311e-05,0.0019653307697682933,2.075991476765123e-05,"[22, 21, 18, 17, 4, 12, 10, 7, 0, 11, 16, 14, 13, 15, 3, 2, 1, 5, 8, 9, 6, 19, 20]",100
101,7.599939200486396e-05,4.592000734720118e-05,6.68723334632582e-05,0.002006170003897746,3.007938465766278e-05,"[22, 21, 18, 17, 4, 12, 10, 7, 0, 13, 16, 14, 11, 15, 3, 2, 1, 5, 8, 9, 6, 19, 20]",101
102,7.599939200486396e-05,4.1937513105472846e-05,6.446475967507596e-05,0.0019339427902522789,3.406187889939111e-05,"[22, 21, 18, 17, 4, 12, 10, 7, 0, 13, 16, 14, 11, 15, 3, 2, 1, 5, 8, 9, 6, 19, 20]",101
