0,1
generations,200
cross_over_prob,0.95
mutation_prob,0.9
population_size,30
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
66,6.310740880979428e-05,2.7692392899670462e-05,4.406819569366703e-05,0.001322045870810011,3.541501591012382e-05,"[18, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",65
67,6.310740880979428e-05,2.9068922415046075e-05,4.087355217078873e-05,0.0012262065651236617,3.40384863947482e-05,"[18, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",65
68,6.405329233922624e-05,3.139914594323034e-05,4.64200802974537e-05,0.0013926024089236108,3.2654146395995894e-05,"[18, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 12, 15, 14, 17, 11, 10]",68
69,6.405329233922624e-05,2.9321213898255386e-05,4.283586807438321e-05,0.0012850760422314963,3.473207844097085e-05,"[18, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 12, 15, 14, 17, 11, 10]",68
70,6.405329233922624e-05,3.0602564494904674e-05,4.3569660678378226e-05,0.0013070898203513467,3.345072784432156e-05,"[18, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 12, 15, 14, 17, 11, 10]",68
71,6.405329233922624e-05,2.9161320424588827e-05,4.343268974454894e-05,0.0013029806923364681,3.489197191463741e-05,"[18, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 12, 15, 14, 17, 11, 10]",68
72,6.405329233922624e-05,3.0721022395625325e-05,4.46562067530948e-05,0.001339686202592844,3.333226994360091e-05,"[18, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 21, 22, 20, 12, 15, 14, 17, 11, 10]",72
73,6.522306287503261e-05,2.8430898700707928e-05,4.444316486948722e-05,0.0013332949460846165,3.6792164174324684e-05,"[12, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 18, 15, 14, 17, 11, 10]",73
74,6.522306287503261e-05,3.130576339104029e-05,4.371097425575775e-05,0.0013113292276727324,3.391729948399232e-05,"[12, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 18, 15, 14, 17, 11, 10]",73
75,6.522306287503261e-05,3.0184123151222456e-05,4.6334780199261005e-05,0.0013900434059778302,3.503893972381015e-05,"[12, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 19, 22, 21, 20, 18, 15, 14, 17, 11, 10]",73
